Type,A,B,HP,Win
0,0,0,1,5
0,0,0,2,9
0,0,0,3,9
0,0,0,4,14
0,0,0,5,4
0,0,0,6,31
0,0,0,7,32
0,0,0,8,33
0,0,0,9,36
0,0,0,10,31
0,0,0,11,60
0,0,0,12,54
0,0,0,13,66
0,0,0,14,67
0,0,0,15,74
0,0,0,16,74
0,0,0,17,80
0,0,0,18,96
0,0,0,19,97
0,0,0,20,83
0,0,0,21,98
0,0,0,22,103
0,0,0,23,104
0,0,0,24,109
0,0,0,25,115
0,0,0,26,125
0,0,0,27,109
0,0,0,28,119
0,0,0,29,131
0,0,0,30,125
0,0,1,1,5
0,0,1,2,7
0,0,1,3,8
0,0,1,4,8
0,0,1,5,6
0,0,1,6,34
0,0,1,7,33
0,0,1,8,34
0,0,1,9,40
0,0,1,10,38
0,0,1,11,59
0,0,1,12,76
0,0,1,13,70
0,0,1,14,79
0,0,1,15,76
0,0,1,16,74
0,0,1,17,91
0,0,1,18,79
0,0,1,19,90
0,0,1,20,89
0,0,1,21,94
0,0,1,22,107
0,0,1,23,95
0,0,1,24,99
0,0,1,25,119
0,0,1,26,109
0,0,1,27,126
0,0,1,28,122
0,0,1,29,132
0,0,1,30,136
0,0,3,1,4
0,0,3,2,10
0,0,3,3,8
0,0,3,4,10
0,0,3,5,33
0,0,3,6,33
0,0,3,7,37
0,0,3,8,30
0,0,3,9,43
0,0,3,10,64
0,0,3,11,80
0,0,3,12,76
0,0,3,13,76
0,0,3,14,68
0,0,3,15,83
0,0,3,16,84
0,0,3,17,89
0,0,3,18,98
0,0,3,19,101
0,0,3,20,88
0,0,3,21,108
0,0,3,22,119
0,0,3,23,104
0,0,3,24,107
0,0,3,25,125
0,0,3,26,118
0,0,3,27,133
0,0,3,28,137
0,0,3,29,126
0,0,3,30,132
0,0,5,1,5
0,0,5,2,10
0,0,5,3,11
0,0,5,4,13
0,0,5,5,32
0,0,5,6,32
0,0,5,7,37
0,0,5,8,26
0,0,5,9,67
0,0,5,10,58
0,0,5,11,70
0,0,5,12,65
0,0,5,13,87
0,0,5,14,63
0,0,5,15,86
0,0,5,16,94
0,0,5,17,91
0,0,5,18,99
0,0,5,19,98
0,0,5,20,79
0,0,5,21,105
0,0,5,22,122
0,0,5,23,116
0,0,5,24,115
0,0,5,25,135
0,0,5,26,127
0,0,5,27,138
0,0,5,28,127
0,0,5,29,133
0,0,5,30,130
0,0,8,1,8
0,0,8,2,12
0,0,8,3,7
0,0,8,4,14
0,0,8,5,31
0,0,8,6,38
0,0,8,7,44
0,0,8,8,35
0,0,8,9,58
0,0,8,10,59
0,0,8,11,74
0,0,8,12,67
0,0,8,13,62
0,0,8,14,75
0,0,8,15,68
0,0,8,16,100
0,0,8,17,85
0,0,8,18,88
0,0,8,19,100
0,0,8,20,97
0,0,8,21,107
0,0,8,22,101
0,0,8,23,116
0,0,8,24,134
0,0,8,25,132
0,0,8,26,121
0,0,8,27,133
0,0,8,28,128
0,0,8,29,136
0,0,8,30,138
0,0,10,1,9
0,0,10,2,11
0,0,10,3,5
0,0,10,4,3
0,0,10,5,27
0,0,10,6,26
0,0,10,7,38
0,0,10,8,37
0,0,10,9,55
0,0,10,10,60
0,0,10,11,67
0,0,10,12,67
0,0,10,13,80
0,0,10,14,61
0,0,10,15,81
0,0,10,16,85
0,0,10,17,100
0,0,10,18,102
0,0,10,19,97
0,0,10,20,92
0,0,10,21,103
0,0,10,22,104
0,0,10,23,111
0,0,10,24,116
0,0,10,25,139
0,0,10,26,127
0,0,10,27,125
0,0,10,28,134
0,0,10,29,138
0,0,10,30,136
0,0,12,1,9
0,0,12,2,8
0,0,12,3,10
0,0,12,4,10
0,0,12,5,36
0,0,12,6,31
0,0,12,7,34
0,0,12,8,39
0,0,12,9,70
0,0,12,10,64
0,0,12,11,67
0,0,12,12,69
0,0,12,13,75
0,0,12,14,76
0,0,12,15,82
