No,A,B,S,C,HP,Win,Frame
2,5,0,5,6,52,1,564
0,5,0,5,6,50,1,623
5,5,0,5,6,55,2,1218
1,5,0,5,6,51,2,1262
3,5,0,5,6,53,0,0
7,5,0,5,6,57,1,681
4,5,0,5,6,54,1,707
6,5,0,5,6,56,0,0
9,5,0,5,6,59,2,1238
10,5,0,5,6,60,2,1344
8,5,0,5,6,58,1,744
12,5,0,5,9,51,1,608
11,5,0,5,9,50,1,736
16,5,0,5,9,55,2,938
13,5,0,5,9,52,0,0
14,5,0,5,9,53,1,580
17,5,0,5,9,56,2,1187
15,5,0,5,9,54,1,675
18,5,0,5,9,57,2,1183
19,5,0,5,9,58,0,0
21,5,0,5,9,60,2,1211
20,5,0,5,9,59,1,613
22,5,0,5,11,50,2,1341
23,5,0,5,11,51,1,655
24,5,0,5,11,52,2,1160
25,5,0,5,11,53,1,635
27,5,0,5,11,55,2,1136
28,5,0,5,11,56,1,605
26,5,0,5,11,54,0,0
29,5,0,5,11,57,1,645
30,5,0,5,11,58,1,585
32,5,0,5,11,60,0,0
33,5,0,5,14,50,1,612
34,5,0,5,14,51,1,599
31,5,0,5,11,59,2,1419
35,5,0,5,14,52,1,552
36,5,0,5,14,53,1,566
37,5,0,5,14,54,2,1225
39,5,0,5,14,56,1,570
40,5,0,5,14,57,1,609
41,5,0,5,14,58,2,1297
38,5,0,5,14,55,0,0
42,5,0,5,14,59,1,626
44,5,3,5,6,50,1,617
49,5,3,5,6,55,1,643
43,5,0,5,14,60,2,1429
47,5,3,5,6,53,2,1127
45,5,3,5,6,51,2,1168
48,5,3,5,6,54,1,609
51,5,3,5,6,57,2,1121
50,5,3,5,6,56,1,631
46,5,3,5,6,52,1,665
57,5,3,5,9,52,1,551
52,5,3,5,6,58,1,650
53,5,3,5,6,59,1,563
56,5,3,5,9,51,1,546
54,5,3,5,6,60,2,1243
59,5,3,5,9,54,1,602
58,5,3,5,9,53,1,627
60,5,3,5,9,55,0,0
55,5,3,5,9,50,2,1394
61,5,3,5,9,56,1,598
65,5,3,5,9,60,2,1030
63,5,3,5,9,58,1,606
66,5,3,5,11,50,0,0
62,5,3,5,9,57,2,1268
67,5,3,5,11,51,1,557
64,5,3,5,9,59,0,0
68,5,3,5,11,52,1,555
70,5,3,5,11,54,2,1298
76,5,3,5,11,60,0,0
69,5,3,5,11,53,1,665
73,5,3,5,11,57,2,1138
71,5,3,5,11,55,1,645
74,5,3,5,11,58,2,1238
77,5,3,5,14,50,2,1245
72,5,3,5,11,56,1,643
75,5,3,5,11,59,2,1372
80,5,3,5,14,53,1,587
78,5,3,5,14,51,2,1228
79,5,3,5,14,52,2,1243
81,5,3,5,14,54,1,643
84,5,3,5,14,57,1,582
83,5,3,5,14,56,1,586
82,5,3,5,14,55,0,0
85,5,3,5,14,58,2,1245
87,5,3,5,14,60,1,626
89,5,5,5,6,51,1,568
86,5,3,5,14,59,1,645
90,5,5,5,6,52,1,576
91,5,5,5,6,53,1,562
93,5,5,5,6,55,1,587
92,5,5,5,6,54,2,1299
100,5,5,5,9,51,0,0
96,5,5,5,6,58,1,652
94,5,5,5,6,56,1,594
95,5,5,5,6,57,1,625
97,5,5,5,6,59,1,678
103,5,5,5,9,54,1,583
99,5,5,5,9,50,2,1152
101,5,5,5,9,52,1,484
105,5,5,5,9,56,1,561
98,5,5,5,6,60,0,0
104,5,5,5,9,55,0,0
102,5,5,5,9,53,1,944
106,5,5,5,9,57,2,1237
108,5,5,5,9,59,2,1209
107,5,5,5,9,58,2,1252
109,5,5,5,9,60,1,570
111,5,5,5,11,51,1,584
110,5,5,5,11,50,2,1334
113,5,5,5,11,53,0,0
112,5,5,5,11,52,0,0
115,5,5,5,11,55,2,1312
116,5,5,5,11,56,0,0
117,5,5,5,11,57,2,1242
114,5,5,5,11,54,2,1518
118,5,5,5,11,58,2,1297
119,5,5,5,11,59,1,722
120,5,5,5,11,60,1,573
124,5,5,5,14,53,0,0
121,5,5,5,14,50,2,1232
123,5,5,5,14,52,1,901
126,5,5,5,14,55,2,1206
125,5,5,5,14,54,2,1249
122,5,5,5,14,51,1,644
127,5,5,5,14,56,2,1227
128,5,5,5,14,57,1,814
129,5,5,5,14,58,1,591
136,5,8,5,6,54,1,598
132,5,8,5,6,50,2,1332
133,5,8,5,6,51,1,639
131,5,5,5,14,60,0,0
134,5,8,5,6,52,1,641
130,5,5,5,14,59,0,0
137,5,8,5,6,55,2,1158
135,5,8,5,6,53,0,0
141,5,8,5,6,59,2,1122
139,5,8,5,6,57,2,1147
140,5,8,5,6,58,2,1206
142,5,8,5,6,60,2,1145
138,5,8,5,6,56,1,761
143,5,8,5,9,50,0,0
144,5,8,5,9,51,1,626
147,5,8,5,9,54,1,587
146,5,8,5,9,53,2,1200
145,5,8,5,9,52,1,625
