No,Type,A,B,S,C,HP,Win,Frame
0,0,5,0,5,6,50,1,580
2,0,5,0,5,6,52,0,0
1,0,5,0,5,6,51,0,0
5,0,5,0,5,6,55,1,651
3,0,5,0,5,6,53,2,1082
4,0,5,0,5,6,54,1,510
9,0,5,0,5,6,59,1,614
8,0,5,0,5,6,58,1,570
6,0,5,0,5,6,56,1,573
10,0,5,0,5,6,60,1,500
12,0,5,0,5,9,51,1,600
11,0,5,0,5,9,50,1,581
14,0,5,0,5,9,53,2,1278
13,0,5,0,5,9,52,2,1183
7,0,5,0,5,6,57,1,632
16,0,5,0,5,9,55,1,523
15,0,5,0,5,9,54,1,609
17,0,5,0,5,9,56,1,564
18,0,5,0,5,9,57,1,579
19,0,5,0,5,9,58,2,1147
20,0,5,0,5,9,59,1,592
21,0,5,0,5,9,60,2,1215
23,0,5,0,5,11,51,1,582
22,0,5,0,5,11,50,1,739
24,0,5,0,5,11,52,1,571
26,0,5,0,5,11,54,1,583
25,0,5,0,5,11,53,1,652
27,0,5,0,5,11,55,1,579
28,0,5,0,5,11,56,2,1227
30,0,5,0,5,11,58,1,560
29,0,5,0,5,11,57,2,1285
32,0,5,0,5,11,60,1,689
33,0,5,0,5,14,50,0,0
31,0,5,0,5,11,59,2,1432
36,0,5,0,5,14,53,2,1139
35,0,5,0,5,14,52,1,632
39,0,5,0,5,14,56,0,0
34,0,5,0,5,14,51,1,589
37,0,5,0,5,14,54,0,0
41,0,5,0,5,14,58,1,591
38,0,5,0,5,14,55,2,1280
40,0,5,0,5,14,57,1,626
46,0,5,3,5,6,52,1,572
42,0,5,0,5,14,59,1,681
43,0,5,0,5,14,60,2,1351
45,0,5,3,5,6,51,1,699
44,0,5,3,5,6,50,1,748
48,0,5,3,5,6,54,2,1119
47,0,5,3,5,6,53,2,1254
49,0,5,3,5,6,55,2,1284
50,0,5,3,5,6,56,1,630
52,0,5,3,5,6,58,2,1094
55,0,5,3,5,9,50,1,576
51,0,5,3,5,6,57,2,1356
53,0,5,3,5,6,59,1,777
57,0,5,3,5,9,52,0,0
54,0,5,3,5,6,60,0,0
56,0,5,3,5,9,51,2,1309
59,0,5,3,5,9,54,1,649
60,0,5,3,5,9,55,1,598
58,0,5,3,5,9,53,1,629
64,0,5,3,5,9,59,1,464
62,0,5,3,5,9,57,1,549
67,0,5,3,5,11,51,0,0
61,0,5,3,5,9,56,0,0
63,0,5,3,5,9,58,1,683
66,0,5,3,5,11,50,1,578
65,0,5,3,5,9,60,1,603
69,0,5,3,5,11,53,2,1257
68,0,5,3,5,11,52,1,599
70,0,5,3,5,11,54,2,1206
73,0,5,3,5,11,57,1,660
71,0,5,3,5,11,55,1,605
72,0,5,3,5,11,56,2,1357
75,0,5,3,5,11,59,2,1144
74,0,5,3,5,11,58,1,665
78,0,5,3,5,14,51,1,502
77,0,5,3,5,14,50,2,1178
79,0,5,3,5,14,52,1,566
82,0,5,3,5,14,55,0,0
80,0,5,3,5,14,53,2,1214
81,0,5,3,5,14,54,2,1228
90,0,5,5,5,6,52,1,579
85,0,5,3,5,14,58,2,1255
86,0,5,3,5,14,59,2,1111
88,0,5,5,5,6,50,1,611
83,0,5,3,5,14,56,2,1303
87,0,5,3,5,14,60,2,1157
84,0,5,3,5,14,57,1,620
89,0,5,5,5,6,51,1,607
91,0,5,5,5,6,53,2,1260
95,0,5,5,5,6,57,2,1184
93,0,5,5,5,6,55,2,1189
94,0,5,5,5,6,56,1,588
97,0,5,5,5,6,59,2,1205
99,0,5,5,5,9,50,0,0
92,0,5,5,5,6,54,2,1623
98,0,5,5,5,6,60,2,1189
101,0,5,5,5,9,52,1,647
96,0,5,5,5,6,58,1,774
103,0,5,5,5,9,54,0,0
100,0,5,5,5,9,51,1,835
102,0,5,5,5,9,53,1,766
104,0,5,5,5,9,55,1,593
105,0,5,5,5,9,56,1,588
106,0,5,5,5,9,57,1,684
113,0,5,5,5,11,53,0,0
112,0,5,5,5,11,52,0,0
108,0,5,5,5,9,59,2,1220
109,0,5,5,5,9,60,1,582
110,0,5,5,5,11,50,0,0
111,0,5,5,5,11,51,1,664
114,0,5,5,5,11,54,0,0
107,0,5,5,5,9,58,1,1154
115,0,5,5,5,11,55,2,1254
117,0,5,5,5,11,57,1,603
119,0,5,5,5,11,59,1,465
116,0,5,5,5,11,56,0,0
118,0,5,5,5,11,58,0,0
120,0,5,5,5,11,60,1,579
121,0,5,5,5,14,50,2,1169
123,0,5,5,5,14,52,1,707
122,0,5,5,5,14,51,0,0
124,0,5,5,5,14,53,2,1227
125,0,5,5,5,14,54,0,0
126,0,5,5,5,14,55,2,1247
127,0,5,5,5,14,56,2,1114
133,0,5,8,5,6,51,0,0
130,0,5,5,5,14,59,2,1168
128,0,5,5,5,14,57,2,1423
132,0,5,8,5,6,50,1,613
131,0,5,5,5,14,60,1,611
136,0,5,8,5,6,54,1,485
135,0,5,8,5,6,53,0,0
134,0,5,8,5,6,52,1,563
137,0,5,8,5,6,55,1,537
139,0,5,8,5,6,57,0,0
