Type,A,B,HP,Win
0,0,0,1,7
0,0,0,2,8
0,0,0,3,10
0,0,0,4,6
0,0,0,5,6
0,0,0,6,37
0,0,0,7,31
0,0,0,8,50
0,0,0,9,34
0,0,0,10,38
0,0,0,11,64
0,0,0,12,71
0,0,0,13,77
0,0,0,14,70
0,0,0,15,66
0,0,0,16,75
0,0,0,17,70
0,0,0,18,82
0,0,0,19,79
0,0,0,20,84
0,0,0,21,91
0,0,0,22,97
0,0,0,23,107
0,0,0,24,95
0,0,0,25,136
0,0,0,26,119
0,0,0,27,116
0,0,0,28,130
0,0,0,29,124
0,0,0,30,147
0,0,1,1,9
0,0,1,2,11
0,0,1,3,5
0,0,1,4,7
0,0,1,5,12
0,0,1,6,39
0,0,1,7,36
0,0,1,8,25
0,0,1,9,34
0,0,1,10,33
0,0,1,11,60
0,0,1,12,82
0,0,1,13,64
0,0,1,14,70
0,0,1,15,71
0,0,1,16,78
0,0,1,17,84
0,0,1,18,84
0,0,1,19,98
0,0,1,20,87
0,0,1,21,93
0,0,1,22,98
0,0,1,23,101
0,0,1,24,116
0,0,1,25,119
0,0,1,26,113
0,0,1,27,117
0,0,1,28,110
0,0,1,29,120
0,0,1,30,136
0,0,3,1,10
0,0,3,2,7
0,0,3,3,10
0,0,3,4,10
0,0,3,5,32
0,0,3,6,33
0,0,3,7,36
0,0,3,8,43
0,0,3,9,66
0,0,3,10,68
0,0,3,11,69
0,0,3,12,78
0,0,3,13,78
0,0,3,14,87
0,0,3,15,92
0,0,3,16,92
0,0,3,17,76
0,0,3,18,85
0,0,3,19,106
0,0,3,20,92
0,0,3,21,97
0,0,3,22,106
0,0,3,23,120
0,0,3,24,108
