Type,A,B,HP,Win
0,0,0,1,8
0,0,0,2,10
0,0,0,3,5
0,0,0,4,10
0,0,0,5,5
0,0,0,6,34
0,0,0,7,34
0,0,0,8,35
0,0,0,9,37
0,0,0,10,33
0,0,0,11,64
0,0,0,12,84
0,0,0,13,80
0,0,0,14,64
0,0,0,15,83
0,0,0,16,79
0,0,0,17,85
0,0,0,18,90
0,0,0,19,95
0,0,0,20,91
0,0,0,21,103
0,0,0,22,96
0,0,0,23,86
0,0,0,24,117
0,0,0,25,96
0,0,0,26,122
0,0,0,27,128
0,0,0,28,123
0,0,0,29,119
0,0,0,30,140
0,0,1,1,9
0,0,1,2,9
0,0,1,3,8
0,0,1,4,9
0,0,1,5,7
0,0,1,6,37
0,0,1,7,49
0,0,1,8,28
0,0,1,9,37
0,0,1,10,34
0,0,1,11,58
0,0,1,12,60
0,0,1,13,80
0,0,1,14,61
0,0,1,15,74
0,0,1,16,89
0,0,1,17,87
0,0,1,18,98
0,0,1,19,82
0,0,1,20,94
0,0,1,21,87
0,0,1,22,105
0,0,1,23,99
0,0,1,24,110
0,0,1,25,111
0,0,1,26,109
0,0,1,27,123
0,0,1,28,112
0,0,1,29,132
0,0,1,30,129
0,0,3,1,9
0,0,3,2,7
0,0,3,3,6
0,0,3,4,6
0,0,3,5,31
0,0,3,6,32
0,0,3,7,32
0,0,3,8,33
0,0,3,9,55
0,0,3,10,57
0,0,3,11,75
0,0,3,12,71
0,0,3,13,69
0,0,3,14,78
0,0,3,15,76
0,0,3,16,93
0,0,3,17,93
0,0,3,18,97
0,0,3,19,99
0,0,3,20,92
0,0,3,21,87
0,0,3,22,105
0,0,3,23,111
0,0,3,24,105
0,0,3,25,116
0,0,3,26,114
0,0,3,27,118
0,0,3,28,138
0,0,3,29,142
0,0,3,30,139
0,0,5,1,8
0,0,5,2,8
0,0,5,3,6
0,0,5,4,9
0,0,5,5,26
0,0,5,6,27
0,0,5,7,31
0,0,5,8,30
0,0,5,9,73
0,0,5,10,58
0,0,5,11,71
0,0,5,12,81
0,0,5,13,78
0,0,5,14,92
0,0,5,15,91
0,0,5,16,84
0,0,5,17,97
0,0,5,18,83
0,0,5,19,98
0,0,5,20,100
0,0,5,21,97
0,0,5,22,110
0,0,5,23,112
0,0,5,24,121
0,0,5,25,120
0,0,5,26,116
0,0,5,27,139
0,0,5,28,136
0,0,5,29,139
0,0,5,30,137
0,0,8,1,7
0,0,8,2,9
0,0,8,3,12
0,0,8,4,6
0,0,8,5,35
0,0,8,6,26
0,0,8,7,38
0,0,8,8,40
0,0,8,9,67
0,0,8,10,69
0,0,8,11,63
0,0,8,12,80
0,0,8,13,74
0,0,8,14,80
0,0,8,15,75
0,0,8,16,78
