A,B,S,C,HP,Win
5,8,10,0,40,7
5,8,10,0,41,11
5,8,10,0,42,10
5,8,10,0,43,6
5,8,10,0,44,16
5,8,10,0,45,11
5,8,10,0,46,21
5,8,10,0,47,15
5,8,10,0,48,13
5,8,10,0,49,17
5,8,10,0,50,23
5,8,10,0,51,20
5,8,10,0,52,16
5,8,10,0,53,13
5,8,10,0,54,28
5,8,10,0,55,29
5,8,10,0,56,30
5,8,10,0,57,34
5,8,10,0,58,36
5,8,10,0,59,40
5,8,10,0,60,34
5,8,10,0,61,44
5,8,10,0,62,38
5,8,10,0,63,33
5,8,10,0,64,32
5,8,10,0,65,31
5,8,10,0,66,35
5,8,10,0,67,37
5,8,10,0,68,42
5,8,10,0,69,41
5,8,10,0,70,47
5,8,10,0,71,69
5,8,10,0,72,59
5,8,10,0,73,54
5,8,10,0,74,67
5,8,10,0,75,75
5,8,10,0,76,85
5,8,10,0,77,81
5,8,10,0,78,89
5,8,10,0,79,81
5,8,10,0,80,89
5,8,10,0,81,84
5,8,10,0,82,91
5,8,10,1,40,8
5,8,10,1,41,8
5,8,10,1,42,2
5,8,10,1,43,11
5,8,10,1,44,12
5,8,10,1,45,12
5,8,10,1,46,15
5,8,10,1,47,11
5,8,10,1,48,20
5,8,10,1,49,16
5,8,10,1,50,26
5,8,10,1,51,13
5,8,10,1,52,21
5,8,10,1,53,17
5,8,10,1,54,27
5,8,10,1,55,26
5,8,10,1,56,32
5,8,10,1,57,34
5,8,10,1,58,44
5,8,10,1,59,33
5,8,10,1,60,35
5,8,10,1,61,41
5,8,10,1,62,38
5,8,10,1,63,32
5,8,10,1,64,30
5,8,10,1,65,36
5,8,10,1,66,36
5,8,10,1,67,38
5,8,10,1,68,37
5,8,10,1,69,45
5,8,10,1,70,55
5,8,10,1,71,48
5,8,10,1,72,58
5,8,10,1,73,67
5,8,10,1,74,69
5,8,10,1,75,95
5,8,10,1,76,90
5,8,10,1,77,88
5,8,10,1,78,90
5,8,10,1,79,80
5,8,10,1,80,88
5,8,10,1,81,94
5,8,10,1,82,93
5,8,10,3,40,6
5,8,10,3,41,16
5,8,10,3,42,11
5,8,10,3,43,8
5,8,10,3,44,12
5,8,10,3,45,9
5,8,10,3,46,10
5,8,10,3,47,14
5,8,10,3,48,25
5,8,10,3,49,12
5,8,10,3,50,14
5,8,10,3,51,11
5,8,10,3,52,18
5,8,10,3,53,20
5,8,10,3,54,18
5,8,10,3,55,22
5,8,10,3,56,29
5,8,10,3,57,29
5,8,10,3,58,35
5,8,10,3,59,43
5,8,10,3,60,35
5,8,10,3,61,33
5,8,10,3,62,40
5,8,10,3,63,44
5,8,10,3,64,46
5,8,10,3,65,42
5,8,10,3,66,40
5,8,10,3,67,52
5,8,10,3,68,60
5,8,10,3,69,65
5,8,10,3,70,68
5,8,10,3,71,77
5,8,10,3,72,83
5,8,10,3,73,77
5,8,10,3,74,97
5,8,10,3,75,93
5,8,10,3,76,100
5,8,10,3,77,76
5,8,10,3,78,88
5,8,10,3,79,94
5,8,10,3,80,96
5,8,10,3,81,94
5,8,10,3,82,99
