No,A,B,S,C,HP,Win,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
1,8,8,10,0,51,77,3,0,3,10,5,4,2,2,3,6,1,0,0,0,0,0,0,0,0,0,1,6,8,11,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,8,10,0,50,96,2,4,9,4,7,3,5,4,9,0,0,0,0,0,0,0,0,0,0,0,15,8,15,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,8,10,0,52,92,10,4,3,5,2,2,5,6,3,10,7,1,0,0,0,0,0,0,0,0,0,1,5,10,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,8,10,0,55,158,28,15,20,6,2,1,6,3,9,8,4,5,5,5,1,0,0,0,0,0,0,0,0,0,0,4,8,9,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8,8,10,0,56,191,24,24,20,17,14,6,6,6,3,4,3,7,4,5,6,3,0,0,0,0,0,0,0,0,0,1,9,8,10,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,8,10,0,54,126,24,15,6,1,0,1,2,8,8,6,5,3,7,0,0,0,0,0,0,0,0,0,0,1,11,11,6,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,8,10,0,57,202,13,31,23,17,14,8,2,2,3,9,5,2,8,6,4,4,0,0,0,0,0,0,0,0,0,0,2,9,12,11,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,8,10,0,53,89,8,5,2,2,4,5,6,5,4,5,4,3,2,0,0,0,0,0,0,0,0,0,2,9,10,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8,8,10,0,62,247,0,0,4,7,18,22,27,24,21,24,9,3,2,3,8,1,5,4,5,6,8,1,0,0,0,0,0,0,0,0,0,2,8,9,11,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,8,8,10,0,61,225,0,1,7,18,23,20,23,17,19,13,1,2,3,9,8,4,7,4,5,7,0,0,0,0,0,0,0,0,0,0,0,6,8,8,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,8,10,0,65,220,0,0,0,0,0,0,8,17,21,20,18,32,13,7,1,0,4,5,4,5,7,9,6,2,0,0,0,0,0,0,0,0,0,0,3,6,10,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
