mapId,Y,X,value
1,8,7,17
1,8,8,36
1,8,9,44
1,8,10,58
1,8,11,80
1,21,3,17
1,21,4,17
1,21,5,17
1,21,6,36
1,21,7,35
1,21,8,57
1,21,9,35
1,21,10,57
1,21,11,35
1,22,3,17
1,22,4,17
1,22,5,17
1,22,6,36
1,22,7,57
1,22,8,35
1,22,9,44
1,22,10,44
1,22,11,44
1,23,3,17
1,23,4,17
1,23,5,17
1,23,6,36
1,23,7,80
1,23,12,44
1,23,13,44
1,24,12,44
1,24,13,44
1,26,1,50
1,26,2,20
1,26,3,17
1,27,1,50
1,27,2,20
1,27,3,17
1,36,4,44
1,36,5,44
1,36,6,44
1,36,7,44
1,36,8,44
1,36,9,44
1,36,10,44
1,36,11,44
1,36,12,44
1,36,13,44
1,36,29,44
1,36,30,44
1,36,31,58
1,36,32,44
1,36,33,44
1,36,34,44
1,36,35,44
1,36,36,44
1,36,37,44
1,36,38,44
2,1,33,44
2,1,34,44
2,1,35,44
2,1,36,44
2,1,37,44
2,1,38,44
2,1,39,44
2,2,33,44
2,2,34,44
2,2,35,44
2,2,36,44
2,2,37,44
2,2,38,44
2,2,39,44
2,3,23,58
2,3,24,58
2,3,25,58
2,3,26,58
2,3,27,58
2,3,28,58
2,3,29,58
2,3,30,58
2,3,31,58
2,3,33,58
2,3,34,58
2,3,35,58
2,3,36,58
2,3,37,80
2,4,23,18
2,4,24,18
2,4,25,18
2,4,26,18
2,4,27,44
2,4,28,44
2,4,29,44
2,4,30,44
2,4,31,44
2,5,23,23
2,5,24,23
2,5,25,23
2,5,26,23
2,5,27,80
2,21,3,17
2,21,4,17
2,21,5,17
2,21,6,36
2,21,7,35
2,21,8,57
2,21,9,35
2,21,10,57
2,21,11,35
2,21,12,57
2,21,13,35
2,21,14,57
2,21,15,35
2,21,16,57
2,21,17,35
2,21,18,57
2,21,19,35
2,21,20,57
2,21,21,85
2,22,3,17
2,22,4,17
2,22,5,17
2,22,6,36
2,22,7,57
2,22,8,35
2,22,9,44
2,22,10,44
2,22,11,44
2,22,12,44
2,22,13,57
2,22,14,35
2,22,15,44
2,22,16,44
2,22,17,44
2,22,18,44
2,22,19,44
2,22,20,44
2,22,21,85
2,23,3,17
2,23,4,17
2,23,5,17
2,23,6,36
2,23,7,80
2,24,22,35
2,24,23,57
2,24,24,57
2,24,25,57
2,24,29,57
2,24,30,57
2,24,31,57
2,24,32,57
2,24,33,57
2,24,34,57
2,25,22,57
2,25,23,57
2,25,24,57
2,25,25,85
2,25,29,85
2,25,30,85
2,25,31,85
2,25,32,85
2,25,33,57
2,25,34,57
2,26,20,44
2,26,21,57
2,26,22,35
2,26,23,44
2,26,24,80
2,26,29,44
2,26,30,44
2,26,31,44
2,26,32,44
2,26,33,80
2,32,11,57
2,32,12,35
2,32,13,57
2,32,14,35
2,32,15,57
2,32,16,35
2,32,17,57
2,32,18,35
2,32,19,57
2,32,26,35
2,32,27,57
2,32,28,35
2,33,11,35
2,33,12,57
2,33,13,35
2,33,14,57
2,33,15,35
2,33,16,57
2,33,17,35
2,33,18,57
2,33,19,35
2,33,26,57
2,33,27,35
2,33,28,57
2,34,11,58
2,34,12,58
2,34,13,58
2,34,14,58
2,34,15,80
2,34,22,35
2,34,23,80
2,36,9,44
2,36,10,44
2,36,30,44
2,36,31,44
2,36,32,44
2,36,33,44
3,6,7,17
3,6,8,36
3,6,9,20
3,6,10,20
3,6,11,20
3,6,12,20
3,6,13,20
3,6,14,20
3,6,15,20
3,6,16,20
3,6,17,20
3,6,18,20
3,6,19,20
3,6,20,20
3,6,21,20
3,6,22,58
3,6,23,44
3,6,24,44
3,6,25,58
3,6,26,44
3,6,27,44
3,6,28,44
3,6,29,58
3,6,30,20
3,6,31,20
3,6,32,20
3,6,33,20
3,6,34,20
3,6,35,20
3,6,36,20
3,6,37,20
3,6,38,20
3,7,7,17
3,7,8,36
3,7,9,20
3,7,10,20
3,7,11,20
3,7,12,20
3,7,13,20
3,7,14,20
3,7,15,20
3,7,16,20
3,7,17,20
3,7,18,20
3,7,19,20
3,7,20,20
3,7,21,20
3,7,22,58
3,7,23,44
3,7,24,44
3,7,25,58
3,7,26,44
3,7,27,44
3,7,28,44
3,7,29,58
3,7,30,20
3,7,31,20
3,7,32,20
3,7,33,20
3,7,34,20
3,7,35,20
3,7,36,20
3,7,37,20
3,7,38,20
3,8,7,17
3,8,8,36
3,8,9,20
3,8,10,58
3,8,11,80
3,8,24,44
3,8,25,80
3,8,27,44
3,8,28,80
3,26,1,44
3,26,2,44
3,26,3,44
3,26,39,57
3,27,1,44
3,27,2,44
3,27,3,44
3,27,39,35
3,28,5,44
3,28,6,44
3,28,7,58
3,28,8,44
3,28,9,57
3,28,10,35
3,28,11,57
3,28,12,35
3,28,13,57
3,28,14,35
3,28,15,57
3,28,16,35
3,28,17,57
3,28,18,35
3,28,19,57
3,28,20,35
3,28,21,57
3,28,22,35
3,28,23,57
3,28,24,35
3,28,25,57
3,28,26,35
3,28,27,57
3,28,28,35
3,28,29,57
3,28,30,35
3,28,31,57
3,28,32,35
3,28,33,57
3,28,34,35
3,28,35,57
3,28,36,35
3,28,37,35
3,28,38,85
3,28,39,57
3,29,5,44
3,29,6,44
3,29,7,58
3,29,8,44
3,29,9,35
3,29,10,57
3,29,11,35
3,29,12,57
3,29,13,35
3,29,14,57
3,29,15,35
3,29,16,57
3,29,17,35
3,29,18,57
3,29,19,35
3,29,20,57
3,29,21,35
3,29,22,57
3,29,23,35
3,29,24,57
3,29,25,35
3,29,26,57
3,29,27,35
3,29,28,57
3,29,29,35
3,29,30,57
3,29,31,35
3,29,32,57
3,29,33,35
3,29,34,57
3,29,35,35
3,29,36,57
3,29,37,35
3,29,38,85
3,30,5,44
3,30,6,44
3,30,7,58
3,30,8,58
3,30,9,80
3,30,20,57
3,30,21,80
3,30,23,80
3,33,9,35
3,33,10,57
3,33,11,35
3,33,12,57
3,33,13,35
3,34,9,44
3,34,10,44
3,34,11,44
3,34,12,44
3,34,13,80
3,34,15,16
3,34,16,35
3,34,17,44
3,34,18,80
3,36,4,44
3,36,5,44
3,36,6,44
3,36,7,44
3,36,8,44
3,36,29,16
3,36,30,35
3,36,31,44
3,36,32,58
3,36,33,44
3,36,34,44
3,36,35,44
3,36,36,44
3,36,37,44
3,36,38,44
4,6,1,44
4,6,2,44
4,6,3,57
4,7,1,44
4,7,2,44
4,7,3,57
4,8,1,80
5,19,13,23
5,19,14,23
5,19,15,23
5,19,16,24
5,19,17,57
5,19,18,57
5,20,13,34
5,20,14,34
5,20,15,34
5,20,16,34
5,20,17,44
5,20,18,61
5,21,13,26
5,21,14,26
5,21,15,27
5,21,16,26
5,22,35,20
5,22,36,20
5,22,37,20
5,22,38,20
5,22,39,20
5,23,35,20
5,23,36,20
5,23,37,20
5,23,38,20
5,23,39,20
5,24,35,20
5,24,36,20
5,24,37,20
5,24,38,20
5,24,39,80
6,5,19,44
6,5,20,44
6,5,21,44
6,5,22,44
6,5,23,80
6,5,28,44
6,5,29,80
6,5,36,44
6,5,37,80
6,14,45,91
6,14,46,91
6,14,47,91
6,14,48,91
6,22,1,57
6,22,2,35
6,22,3,80
6,32,21,15
6,32,22,75
6,32,23,75
6,32,24,75
6,32,25,91
6,32,26,91
6,32,27,91
6,32,28,91
6,32,29,91
6,32,30,91
6,32,31,91
6,32,32,91
6,32,33,91
6,32,34,91
6,32,35,91
6,32,36,91
6,32,37,91
6,32,38,91
6,32,39,91
6,32,40,91
6,32,41,91
6,32,42,91
6,32,43,91
6,32,44,91
6,32,45,91
6,32,46,91
6,32,47,91
6,33,21,78
6,33,22,26
6,33,23,26
6,33,24,26
6,33,25,91
6,33,26,91
6,33,27,91
6,33,28,91
6,33,29,91
6,33,30,91
6,33,31,91
6,33,32,91
6,33,33,91
6,33,34,91
6,33,35,91
6,33,36,91
6,33,37,91
6,33,38,91
6,33,39,91
6,33,40,91
6,33,41,91
6,33,42,91
6,33,43,91
6,33,44,91
6,33,45,91
6,33,46,91
6,33,47,91
6,34,21,44
6,34,22,44
6,34,23,44
6,34,24,44
6,34,25,80
6,34,39,80
6,35,6,44
6,35,7,44
6,35,8,44
6,35,9,44
6,35,10,44
6,35,11,44
6,35,12,44
6,35,13,44
6,35,14,44
6,35,15,44
6,35,16,44
6,35,17,44
6,35,18,44
6,35,19,44
6,35,20,44
6,36,6,44
6,36,7,44
6,36,8,44
6,36,9,44
6,36,10,44
6,36,11,44
6,36,12,44
6,36,13,44
6,36,14,44
6,36,15,44
6,36,16,44
6,36,17,44
6,36,18,44
6,36,19,44
6,36,20,44
7,6,22,91
7,7,19,85
7,7,20,86
7,7,21,91
7,8,19,48
7,8,20,48
7,8,21,44
7,9,19,48
7,9,20,48
7,9,21,80
7,10,34,48
7,11,34,48
7,12,7,90
7,12,8,18
7,12,9,18
7,12,10,18
7,12,11,44
7,12,12,44
7,12,13,44
7,12,14,44
7,12,15,44
7,12,26,18
7,12,27,18
7,12,28,18
7,12,29,44
7,12,30,80
7,13,7,92
7,13,8,23
7,13,9,23
7,13,10,23
7,13,11,80
7,14,22,48
7,14,23,15
7,15,6,48
7,15,22,48
7,15,23,78
7,16,6,44
7,16,7,44
7,16,8,44
7,16,9,44
7,16,10,44
7,16,11,44
7,16,12,44
7,16,13,44
7,16,14,44
7,16,15,48
7,16,16,48
7,16,18,48
7,16,19,48
7,16,20,48
7,16,21,44
7,16,22,80
7,16,25,91
7,16,32,48
7,17,16,86
7,17,25,91
7,17,32,48
7,18,25,91
7,18,26,91
7,18,27,57
7,18,28,35
7,18,29,80
7,21,36,85
7,22,36,20
7,26,1,57
7,26,2,57
7,26,3,58
7,27,1,85
7,27,2,86
7,27,3,58
7,31,9,57
7,31,10,57
7,31,11,57
7,31,12,57
7,31,13,57
7,31,14,57
7,31,15,57
7,31,16,57
7,31,17,57
7,31,18,57
