No,Type,A,B,HP,Win,Frame
4,0,4,0,41,872,592056
0,0,4,0,37,805,545405
13,0,4,2,39,836,564693
11,0,4,2,37,822,558494
3,0,4,0,40,869,590644
14,0,4,2,40,871,591840
5,0,4,0,42,860,586863
1,0,4,0,38,850,579300
8,0,4,0,45,923,630047
15,0,4,2,41,862,585861
6,0,4,0,43,893,611555
10,0,4,0,47,959,656262
2,0,4,0,39,832,566660
7,0,4,0,44,911,621161
12,0,4,2,38,830,564056
9,0,4,0,46,941,646628
18,0,4,2,44,911,620598
16,0,4,2,42,848,578564
24,0,4,5,39,858,581387
19,0,4,2,45,919,629309
22,0,4,5,37,836,568352
27,0,4,5,42,891,605260
23,0,4,5,38,839,569736
26,0,4,5,41,881,600136
20,0,4,2,46,947,649629
17,0,4,2,43,881,601193
28,0,4,5,43,897,613383
21,0,4,2,47,951,651691
25,0,4,5,40,854,580348
30,0,4,5,45,932,638671
29,0,4,5,44,914,624225
31,0,4,5,46,959,657787
36,0,4,8,40,844,571936
34,0,4,8,38,840,571673
35,0,4,8,39,859,584622
32,0,4,5,47,958,656921
33,0,4,8,37,815,554106
39,0,4,8,43,892,607770
37,0,4,8,41,877,597810
44,0,4,11,37,877,596821
40,0,4,8,44,897,611106
42,0,4,8,46,945,644936
38,0,4,8,42,880,597029
45,0,4,11,38,855,582408
43,0,4,8,47,956,654701
46,0,4,11,39,871,592722
41,0,4,8,45,920,625823
47,0,4,11,40,892,610362
48,0,4,11,41,893,607420
49,0,4,11,42,897,612931
51,0,4,11,44,930,639008
57,0,4,14,39,870,590022
56,0,4,14,38,873,592902
50,0,4,11,43,927,630090
52,0,4,11,45,946,647602
60,0,4,14,42,878,597850
55,0,4,14,37,835,570066
54,0,4,11,47,970,663881
53,0,4,11,46,966,663068
58,0,4,14,40,862,586693
61,0,4,14,43,902,613843
59,0,4,14,41,885,602650
62,0,4,14,44,914,625563
63,0,4,14,45,939,640982
67,0,6,0,38,824,559307
68,0,6,0,39,844,572366
64,0,4,14,46,952,651414
66,0,6,0,37,815,553878
70,0,6,0,41,868,590287
65,0,4,14,47,960,659986
71,0,6,0,42,874,596203
75,0,6,0,46,945,645085
73,0,6,0,44,911,618962
78,0,6,2,38,809,545254
76,0,6,0,47,956,655263
72,0,6,0,43,885,604409
74,0,6,0,45,915,623951
77,0,6,2,37,806,547833
69,0,6,0,40,852,582359
79,0,6,2,39,831,566079
80,0,6,2,40,846,574439
81,0,6,2,41,890,604882
82,0,6,2,42,877,599303
88,0,6,5,37,833,562913
85,0,6,2,45,931,633354
89,0,6,5,38,818,555016
84,0,6,2,44,904,617575
90,0,6,5,39,857,582919
86,0,6,2,46,944,643471
83,0,6,2,43,889,606336
92,0,6,5,41,888,604937
87,0,6,2,47,958,659519
93,0,6,5,42,885,601424
94,0,6,5,43,908,620877
91,0,6,5,40,869,591993
95,0,6,5,44,922,628550
96,0,6,5,45,940,642916
100,0,6,8,38,843,573949
97,0,6,5,46,958,655518
98,0,6,5,47,963,661450
101,0,6,8,39,830,564616
104,0,6,8,42,890,605708
99,0,6,8,37,824,559270
102,0,6,8,40,846,576008
103,0,6,8,41,875,594672
105,0,6,8,43,898,614399
107,0,6,8,45,928,633347
106,0,6,8,44,913,622792
109,0,6,8,47,963,660693
108,0,6,8,46,941,643181
111,0,6,11,38,860,586832
110,0,6,11,37,857,582980
112,0,6,11,39,868,591375
116,0,6,11,43,937,637885
114,0,6,11,41,873,594624
113,0,6,11,40,894,611204
115,0,6,11,42,898,613858
118,0,6,11,45,950,649787
120,0,6,11,47,968,666467
123,0,6,14,39,881,601315
119,0,6,11,46,961,658607
121,0,6,14,37,852,578212
117,0,6,11,44,938,643194
122,0,6,14,38,859,583920
127,0,6,14,43,898,611413
124,0,6,14,40,865,590211
125,0,6,14,41,881,600642
126,0,6,14,42,886,604531
129,0,6,14,45,934,638907
128,0,6,14,44,929,635622
130,0,6,14,46,966,662827
134,0,10,0,39,827,558800
133,0,10,0,38,825,557906
131,0,6,14,47,968,662119
132,0,10,0,37,817,553706
138,0,10,0,43,872,593097
137,0,10,0,42,885,600136
135,0,10,0,40,848,574262
140,0,10,0,45,919,626176
136,0,10,0,41,862,586936
143,0,10,2,37,811,548199
139,0,10,0,44,896,608125
142,0,10,0,47,961,657131
141,0,10,0,46,939,643217
145,0,10,2,39,853,578851
144,0,10,2,38,837,565982
146,0,10,2,40,857,580871
150,0,10,2,44,883,602949
148,0,10,2,42,878,596365
149,0,10,2,43,872,592257
147,0,10,2,41,854,581508
151,0,10,2,45,917,623319
152,0,10,2,46,939,641038
154,0,10,5,37,835,566522
155,0,10,5,38,830,561730
153,0,10,2,47,957,652563
156,0,10,5,39,850,576196
157,0,10,5,40,878,598302
158,0,10,5,41,885,601236
159,0,10,5,42,871,590186
160,0,10,5,43,899,610320
163,0,10,5,46,965,657519
162,0,10,5,45,949,647276
161,0,10,5,44,916,625042
164,0,10,5,47,966,661056
165,0,10,8,37,816,551581
166,0,10,8,38,823,557767
169,0,10,8,41,858,583670
168,0,10,8,40,869,588613
167,0,10,8,39,840,571161
170,0,10,8,42,870,589774
171,0,10,8,43,888,605031
172,0,10,8,44,911,619574
174,0,10,8,46,942,642021
173,0,10,8,45,921,626581
175,0,10,8,47,963,653239
176,0,10,11,37,856,581251
178,0,10,11,39,865,586516
177,0,10,11,38,866,585988
179,0,10,11,40,883,599157
180,0,10,11,41,883,600648
181,0,10,11,42,905,615305
182,0,10,11,43,909,619319
183,0,10,11,44,923,629596
185,0,10,11,46,968,661594
186,0,10,11,47,966,660734
188,0,10,14,38,864,584087
184,0,10,11,45,944,644044
189,0,10,14,39,875,592774
190,0,10,14,40,863,585323
187,0,10,14,37,847,571975
191,0,10,14,41,874,595268
193,0,10,14,43,888,603781
195,0,10,14,45,939,641063
194,0,10,14,44,903,614594
192,0,10,14,42,871,594152
196,0,10,14,46,960,657541
197,0,10,14,47,962,655068
198,0,13,0,37,797,540752
199,0,13,0,38,797,541051
200,0,13,0,39,827,562811
201,0,13,0,40,857,585244
202,0,13,0,41,836,571428
203,0,13,0,42,872,598144
204,0,13,0,43,882,604247
206,0,13,0,45,916,628296
205,0,13,0,44,898,615083
207,0,13,0,46,942,646194
209,0,13,2,37,796,541001
211,0,13,2,39,836,569078
208,0,13,0,47,952,654656
212,0,13,2,40,839,572151
210,0,13,2,38,806,550714
213,0,13,2,41,853,582462
215,0,13,2,43,870,595502
214,0,13,2,42,859,585985
220,0,13,5,37,802,546022
216,0,13,2,44,898,616601
222,0,13,5,39,836,570571
218,0,13,2,46,937,643153
217,0,13,2,45,936,644142
221,0,13,5,38,790,541382
219,0,13,2,47,959,659197
223,0,13,5,40,841,573829
225,0,13,5,42,859,588165
224,0,13,5,41,865,590913
226,0,13,5,43,886,604937
227,0,13,5,44,886,605774
229,0,13,5,46,935,642484
228,0,13,5,45,921,632513
230,0,13,5,47,949,650211
232,0,13,8,38,836,567988
233,0,13,8,39,827,562980
235,0,13,8,41,868,592108
236,0,13,8,42,854,582808
234,0,13,8,40,838,572829
231,0,13,8,37,805,547708
237,0,13,8,43,871,595767
238,0,13,8,44,886,603115
239,0,13,8,45,909,623673
241,0,13,8,47,959,658092
242,0,13,11,37,861,586008
240,0,13,8,46,941,647972
243,0,13,11,38,828,564874
244,0,13,11,39,869,596203
245,0,13,11,40,869,592382
247,0,13,11,42,892,612080
246,0,13,11,41,870,596242
248,0,13,11,43,898,616796
249,0,13,11,44,916,630003
251,0,13,11,46,947,648366
250,0,13,11,45,932,641716
252,0,13,11,47,962,663829
253,0,13,14,37,846,579112
254,0,13,14,38,839,574211
255,0,13,14,39,847,578562
257,0,13,14,41,871,594106
256,0,13,14,40,863,591163
258,0,13,14,42,884,604016
260,0,13,14,44,912,623297
259,0,13,14,43,894,612605
261,0,13,14,45,926,633482
264,1,4,0,37,810,547065
266,1,4,0,39,849,576662
265,1,4,0,38,837,568186
262,0,13,14,46,946,647073
263,0,13,14,47,967,664391
267,1,4,0,40,852,577312
269,1,4,0,42,868,590837
268,1,4,0,41,858,583318
270,1,4,0,43,882,602421
271,1,4,0,44,889,607850
272,1,4,0,45,929,635357
275,1,4,2,37,824,558619
273,1,4,0,46,945,646206
276,1,4,2,38,849,578264
277,1,4,2,39,841,572414
274,1,4,0,47,954,652480
280,1,4,2,42,887,603371
281,1,4,2,43,908,620938
279,1,4,2,41,865,591069
278,1,4,2,40,833,565962
283,1,4,2,45,923,632082
282,1,4,2,44,902,616147
284,1,4,2,46,933,638636
286,1,4,5,37,801,542646
285,1,4,2,47,958,655775
287,1,4,5,38,819,553061
288,1,4,5,39,866,586531
289,1,4,5,40,871,588035
291,1,4,5,42,892,606507
290,1,4,5,41,862,585308
292,1,4,5,43,896,611647
293,1,4,5,44,898,613665
295,1,4,5,46,946,647114
297,1,4,8,37,798,538527
301,1,4,8,41,855,580888
300,1,4,8,40,864,588060
298,1,4,8,38,830,564009
296,1,4,5,47,965,661408
294,1,4,5,45,925,630699
299,1,4,8,39,844,571990
302,1,4,8,42,878,596877
303,1,4,8,43,884,603457
305,1,4,8,45,924,631200
304,1,4,8,44,906,619421
306,1,4,8,46,942,644431
308,1,4,11,37,833,565417
309,1,4,11,38,867,590513
307,1,4,8,47,967,664147
310,1,4,11,39,873,593854
311,1,4,11,40,867,590875
314,1,4,11,43,892,605364
312,1,4,11,41,880,599343
313,1,4,11,42,878,595774
316,1,4,11,45,927,630422
315,1,4,11,44,921,627368
317,1,4,11,46,955,652787
318,1,4,11,47,953,650496
319,1,4,14,37,853,580245
320,1,4,14,38,856,582011
321,1,4,14,39,849,575878
322,1,4,14,40,889,605424
326,1,4,14,44,924,628530
323,1,4,14,41,884,601292
325,1,4,14,43,865,591632
332,1,6,0,39,813,549888
324,1,4,14,42,883,600762
330,1,6,0,37,799,542661
329,1,4,14,47,966,660385
327,1,4,14,45,927,636200
331,1,6,0,38,823,558287
333,1,6,0,40,857,586110
328,1,4,14,46,953,655254
334,1,6,0,41,862,586588
335,1,6,0,42,883,601213
336,1,6,0,43,881,602989
337,1,6,0,44,902,617501
338,1,6,0,45,935,638462
341,1,6,2,37,824,558114
342,1,6,2,38,825,557831
344,1,6,2,40,860,585389
343,1,6,2,39,843,574566
339,1,6,0,46,940,645357
340,1,6,0,47,963,660050
345,1,6,2,41,856,583528
346,1,6,2,42,875,596403
347,1,6,2,43,885,605847
348,1,6,2,44,907,620999
349,1,6,2,45,932,637317
350,1,6,2,46,943,645368
351,1,6,2,47,944,649465
352,1,6,5,37,828,561432
353,1,6,5,38,824,559202
354,1,6,5,39,839,567246
355,1,6,5,40,846,575608
356,1,6,5,41,870,592291
360,1,6,5,45,923,629556
357,1,6,5,42,875,595010
358,1,6,5,43,881,600954
359,1,6,5,44,905,619517
363,1,6,8,37,796,536100
361,1,6,5,46,937,642240
362,1,6,5,47,953,651219
364,1,6,8,38,841,572396
365,1,6,8,39,849,574599
366,1,6,8,40,862,585814
367,1,6,8,41,857,582099
368,1,6,8,42,861,589348
369,1,6,8,43,878,595395
370,1,6,8,44,912,621692
371,1,6,8,45,937,637398
372,1,6,8,46,951,650430
374,1,6,11,37,830,563659
376,1,6,11,39,867,588544
378,1,6,11,41,879,597390
373,1,6,8,47,963,659743
380,1,6,11,43,894,608981
379,1,6,11,42,878,598915
377,1,6,11,40,864,590899
375,1,6,11,38,867,587954
381,1,6,11,44,919,628468
382,1,6,11,45,920,632030
383,1,6,11,46,958,656648
385,1,6,14,37,846,575400
386,1,6,14,38,862,585549
384,1,6,11,47,960,658758
387,1,6,14,39,865,588718
389,1,6,14,41,868,592056
396,1,10,0,37,790,530920
391,1,6,14,43,898,612040
390,1,6,14,42,876,596974
393,1,6,14,45,934,638443
395,1,6,14,47,954,652875
388,1,6,14,40,878,599413
392,1,6,14,44,898,614572
394,1,6,14,46,946,648390
397,1,10,0,38,822,557962
398,1,10,0,39,837,567375
399,1,10,0,40,864,584926
400,1,10,0,41,864,585071
402,1,10,0,43,880,596343
403,1,10,0,44,923,625678
401,1,10,0,42,870,591150
407,1,10,2,37,827,558905
405,1,10,0,46,948,649389
404,1,10,0,45,921,628299
409,1,10,2,39,829,562712
406,1,10,0,47,962,656555
408,1,10,2,38,825,557405
410,1,10,2,40,843,571614
413,1,10,2,43,883,600770
412,1,10,2,42,874,591698
411,1,10,2,41,867,589008
414,1,10,2,44,905,614236
415,1,10,2,45,916,622309
416,1,10,2,46,948,643981
418,1,10,5,37,799,540398
417,1,10,2,47,956,653316
419,1,10,5,38,820,555821
420,1,10,5,39,845,568168
424,1,10,5,43,886,600715
421,1,10,5,40,833,565103
422,1,10,5,41,864,586369
423,1,10,5,42,899,609468
425,1,10,5,44,900,612849
426,1,10,5,45,917,624988
429,1,10,8,37,835,563761
427,1,10,5,46,946,643851
428,1,10,5,47,961,658657
430,1,10,8,38,831,562289
431,1,10,8,39,853,576265
432,1,10,8,40,844,572919
433,1,10,8,41,853,579143
435,1,10,8,43,891,605776
434,1,10,8,42,894,606747
436,1,10,8,44,895,609397
437,1,10,8,45,930,634706
439,1,10,8,47,965,661052
438,1,10,8,46,944,645466
440,1,10,11,37,846,573871
441,1,10,11,38,867,588280
443,1,10,11,40,870,591567
445,1,10,11,42,889,603454
442,1,10,11,39,865,588144
444,1,10,11,41,874,594661
446,1,10,11,43,902,615213
447,1,10,11,44,899,612648
448,1,10,11,45,940,637327
449,1,10,11,46,946,645129
450,1,10,11,47,960,655222
451,1,10,14,37,864,586593
452,1,10,14,38,855,576760
454,1,10,14,40,861,581928
456,1,10,14,42,882,599087
457,1,10,14,43,882,598201
455,1,10,14,41,868,590921
453,1,10,14,39,863,585531
458,1,10,14,44,913,622065
461,1,10,14,47,962,657200
460,1,10,14,46,950,651696
459,1,10,14,45,935,635503
462,1,13,0,37,801,544833
463,1,13,0,38,819,559877
464,1,13,0,39,824,561184
465,1,13,0,40,859,587509
467,1,13,0,42,901,617191
468,1,13,0,43,891,608520
469,1,13,0,44,919,629384
466,1,13,0,41,858,588183
470,1,13,0,45,931,640422
471,1,13,0,46,952,657460
472,1,13,0,47,959,662874
475,1,13,2,39,858,586339
473,1,13,2,37,811,553067
476,1,13,2,40,856,585317
474,1,13,2,38,838,572513
477,1,13,2,41,857,587211
478,1,13,2,42,871,594209
479,1,13,2,43,911,627536
480,1,13,2,44,920,630746
481,1,13,2,45,943,649196
482,1,13,2,46,955,656789
483,1,13,2,47,972,670980
484,1,13,5,37,831,566513
485,1,13,5,38,823,559208
486,1,13,5,39,838,571448
488,1,13,5,41,852,580206
487,1,13,5,40,845,576289
490,1,13,5,43,891,609320
492,1,13,5,45,940,645627
489,1,13,5,42,878,601525
491,1,13,5,44,910,624832
493,1,13,5,46,960,657674
494,1,13,5,47,962,662844
495,1,13,8,37,797,544358
496,1,13,8,38,797,542903
497,1,13,8,39,844,577907
499,1,13,8,41,858,586284
498,1,13,8,40,840,573286
500,1,13,8,42,889,611469
501,1,13,8,43,897,616126
502,1,13,8,44,930,638740
504,1,13,8,46,953,653898
503,1,13,8,45,934,642176
505,1,13,8,47,966,662998
507,1,13,11,38,869,593950
506,1,13,11,37,843,576487
508,1,13,11,39,854,584204
509,1,13,11,40,889,607493
510,1,13,11,41,876,601268
511,1,13,11,42,883,605756
512,1,13,11,43,926,635227
513,1,13,11,44,922,633410
514,1,13,11,45,956,659054
515,1,13,11,46,973,670218
517,1,13,14,37,866,592805
516,1,13,11,47,967,666295
518,1,13,14,38,865,590650
521,1,13,14,41,899,615786
520,1,13,14,40,859,590763
519,1,13,14,39,884,606189
