Type,A,B,HP,Win
0,0,0,1,7
0,0,0,2,7
0,0,0,3,6
0,0,0,4,3
0,0,0,5,5
0,0,0,6,16
0,0,0,7,18
0,0,0,8,15
0,0,0,9,16
0,0,0,10,13
0,0,0,11,32
0,0,0,12,22
0,0,0,13,37
0,0,0,14,28
0,0,0,15,41
0,0,0,16,39
0,0,0,17,51
0,0,0,18,41
0,0,0,19,42
0,0,0,20,48
0,0,0,21,40
0,0,0,22,49
0,0,0,23,54
0,0,0,24,56
0,0,0,25,62
0,0,0,26,57
0,0,0,27,47
0,0,0,28,56
0,0,0,29,60
0,0,0,30,70
0,0,1,1,5
0,0,1,2,4
0,0,1,3,4
0,0,1,4,2
0,0,1,5,8
0,0,1,6,16
0,0,1,7,20
0,0,1,8,22
0,0,1,9,23
0,0,1,10,10
0,0,1,11,38
0,0,1,12,31
0,0,1,13,33
0,0,1,14,46
0,0,1,15,38
0,0,1,16,38
0,0,1,17,46
0,0,1,18,40
0,0,1,19,48
0,0,1,20,51
0,0,1,21,43
0,0,1,22,43
0,0,1,23,53
0,0,1,24,62
0,0,1,25,56
0,0,1,26,52
0,0,1,27,60
0,0,1,28,61
0,0,1,29,65
0,0,1,30,69
0,0,3,1,2
0,0,3,2,4
0,0,3,3,4
0,0,3,4,5
0,0,3,5,22
0,0,3,6,17
0,0,3,7,18
0,0,3,8,20
0,0,3,9,32
0,0,3,10,31
0,0,3,11,36
0,0,3,12,39
0,0,3,13,34
0,0,3,14,31
0,0,3,15,39
0,0,3,16,41
0,0,3,17,42
0,0,3,18,51
0,0,3,19,38
0,0,3,20,51
0,0,3,21,35
0,0,3,22,49
0,0,3,23,48
0,0,3,24,48
0,0,3,25,60
0,0,3,26,58
0,0,3,27,68
0,0,3,28,63
0,0,3,29,75
0,0,3,30,68
0,0,5,1,6
0,0,5,2,5
0,0,5,3,3
0,0,5,4,0
0,0,5,5,10
0,0,5,6,15
0,0,5,7,18
0,0,5,8,20
0,0,5,9,22
0,0,5,10,30
0,0,5,11,36
0,0,5,12,30
0,0,5,13,35
0,0,5,14,29
0,0,5,15,42
0,0,5,16,39
0,0,5,17,47
0,0,5,18,53
0,0,5,19,53
0,0,5,20,40
0,0,5,21,52
0,0,5,22,58
0,0,5,23,56
0,0,5,24,61
0,0,5,25,57
0,0,5,26,61
0,0,5,27,63
0,0,5,28,68
0,0,5,29,69
0,0,5,30,70
0,0,8,1,5
0,0,8,2,5
0,0,8,3,2
0,0,8,4,4
0,0,8,5,18
0,0,8,6,17
0,0,8,7,22
0,0,8,8,24
0,0,8,9,26
0,0,8,10,32
0,0,8,11,28
0,0,8,12,31
0,0,8,13,45
0,0,8,14,35
0,0,8,15,40
0,0,8,16,41
0,0,8,17,53
0,0,8,18,49
0,0,8,19,49
0,0,8,20,56
0,0,8,21,64
0,0,8,22,58
0,0,8,23,55
0,0,8,24,59
0,0,8,25,61
0,0,8,26,58
0,0,8,27,70
0,0,8,28,61
0,0,8,29,70
0,0,8,30,69
0,0,10,1,5
0,0,10,2,4
0,0,10,3,6
0,0,10,4,6
0,0,10,5,17
0,0,10,6,20
0,0,10,7,10
0,0,10,8,25
0,0,10,9,22
0,0,10,10,25
0,0,10,11,29
0,0,10,12,42
0,0,10,13,41
0,0,10,14,34
